"Site Crawled","https://bgoonz-blog.netlify.app/"
"Date","2022-01-04"
"Time","03:00:47"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Ensure Text Remains Visible During Webfont Load","0","0.00%","176","PageSpeed Data"
"Image Elements Do Not Have Explicit Width & Height","0","0.00%","176","PageSpeed Data"
"Avoid Large Layout Shifts","0","0.00%","176","PageSpeed Data"
"Avoid Serving Legacy JavaScript to Modern Browsers","0","0.00%","176","PageSpeed Data"
"Request Errors","0","0.00%","176","PageSpeed Data"
""
"Custom Search"
"All","176","100.00%","176","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","176","100.00%","176","Internal HTML pages with 2xx response"
""
"Analytics"
"All","206","100.00%","206","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","206","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","206","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","206","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","206","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","206","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","206","100.00%","206","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","206","Internal URLs with associated Google Search Console data"
"No GSC Data","0","0.00%","206","Internal URLs with associated Google Search Console data"
"Non-Indexable with GSC Data","0","0.00%","206","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","206","Internal URLs with associated Google Search Console data"
""
"Link Metrics"
"All","204","100.00%","204","Internal HTML/PDF pages"
""
""
"Depth (Clicks from Start URL)"
"0","1","0.57%","176","Internal HTML pages with 2xx response"
"1","25","14.20%","176","Internal HTML pages with 2xx response"
"2","150","85.23%","176","Internal HTML pages with 2xx response"
"3","0","0.00%","176","Internal HTML pages with 2xx response"
"4","0","0.00%","176","Internal HTML pages with 2xx response"
"5","0","0.00%","176","Internal HTML pages with 2xx response"
"6","0","0.00%","176","Internal HTML pages with 2xx response"
"7","0","0.00%","176","Internal HTML pages with 2xx response"
"8","0","0.00%","176","Internal HTML pages with 2xx response"
"9","0","0.00%","176","Internal HTML pages with 2xx response"
"10+","0","0.00%","176","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://bgoonz-blog.netlify.app/blog/platform-docs/","176","100.00%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/articles/nodejs/","176","100.00%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/blog/","176","100.00%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/interview/job-search-nav/","176","100.00%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/","176","100.00%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/reference/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/tutorials/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/tools/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/python/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/projects/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/community/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/content/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/articles/modules/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/docs/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/articles/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/quick-reference/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/javascript/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/react/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/faq/","173","98.30%","176","Internal HTML pages with 2xx response"
"https://bgoonz-blog.netlify.app/docs/interact/","173","98.30%","176","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","206","99.52%"
"2","1","0.48%"
